"Message","User","TimeCreated","Source"
"Session has been disconnected","TRADENET\thor","10/18/2016 9:36:11 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/18/2016 8:58:22 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/18/2016 8:56:19 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/18/2016 8:53:27 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/18/2016 8:28:49 AM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/18/2016 8:27:43 AM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/18/2016 8:27:42 AM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/17/2016 11:07:08 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/17/2016 10:45:20 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/17/2016 8:47:38 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/17/2016 2:50:45 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/17/2016 1:30:34 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/15/2016 8:37:16 AM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/15/2016 7:24:07 AM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/14/2016 10:26:32 PM","10.215.236.254"
"Session reconnection succeeded","TRADENET\thor","10/14/2016 10:14:15 PM","10.215.236.254"
"Session has been disconnected","TRADENET\thor","10/14/2016 4:14:10 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/14/2016 4:05:41 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/14/2016 6:35:12 AM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/14/2016 6:32:45 AM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/14/2016 12:34:33 AM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/14/2016 12:26:24 AM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/13/2016 11:55:44 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 11:42:38 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/13/2016 11:26:49 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 11:25:58 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/13/2016 11:13:27 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 11:09:07 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/13/2016 11:09:06 PM","10.10.47.2"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 11:02:58 PM","10.10.47.2"
"Session has been disconnected","TRADENET\thor","10/13/2016 11:02:42 PM","10.10.47.2"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 10:54:50 PM","10.10.47.2"
"Session has been disconnected","TRADENET\thor","10/13/2016 10:53:55 PM","10.10.47.2"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 10:53:13 PM","10.10.47.2"
"Session has been disconnected","TRADENET\thor","10/13/2016 10:51:33 PM","10.10.47.2"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 10:46:25 PM","10.10.47.2"
"Session has been disconnected","TRADENET\thor","10/13/2016 10:45:59 PM","10.215.236.254"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 10:45:36 PM","10.215.236.254"
"Session has been disconnected","TRADENET\thor","10/13/2016 10:44:45 PM","10.10.47.2"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 10:41:11 PM","10.10.47.2"
"Session has been disconnected","TRADENET\thor","10/13/2016 10:39:56 PM","10.10.47.2"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 10:38:51 PM","10.10.47.2"
"Session has been disconnected","TRADENET\thor","10/13/2016 10:35:21 PM","10.215.236.254"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 10:31:32 PM","10.215.236.254"
"Session has been disconnected","TRADENET\thor","10/13/2016 10:30:46 PM","10.215.236.254"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 10:26:09 PM","10.215.236.254"
"Session has been disconnected","TRADENET\thor","10/13/2016 9:40:42 PM","12.12.13.1"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 9:37:57 PM","12.12.13.1"
"Session has been disconnected","TRADENET\thor","10/13/2016 9:37:14 PM","12.12.13.1"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 9:35:59 PM","12.12.13.1"
"Session has been disconnected","TRADENET\thor","10/13/2016 8:02:17 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 7:48:23 PM","192.168.77.56"
"Session has been disconnected","TRADENET\osher.nesimi","10/13/2016 6:39:53 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","10/13/2016 4:40:43 PM","10.215.237.140"
"Session has been disconnected","TRADENET\thor","10/13/2016 10:18:10 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/13/2016 9:56:46 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/13/2016 9:56:45 AM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/12/2016 8:06:38 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/12/2016 8:06:37 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/12/2016 5:53:43 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/12/2016 5:52:05 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/12/2016 5:45:05 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/12/2016 5:44:32 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/12/2016 5:34:37 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/12/2016 11:26:14 AM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/12/2016 10:59:50 AM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/11/2016 6:06:50 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/11/2016 10:42:44 AM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/10/2016 7:54:54 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/10/2016 7:47:16 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/10/2016 7:46:19 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/10/2016 7:30:14 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/10/2016 7:28:11 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/10/2016 7:18:26 PM","192.168.77.56"
"Session has been disconnected","TRADENET\osher.nesimi","10/10/2016 2:49:07 PM","10.215.237.140"
"Session logon succeeded","TRADENET\osher.nesimi","10/10/2016 2:48:40 PM","10.215.237.140"
"Session has been disconnected","TRADENET\thor","10/10/2016 3:38:55 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/9/2016 3:14:46 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/9/2016 3:14:45 PM","10.215.237.145"
"Session reconnection succeeded","TRADENET\thor","10/9/2016 10:30:46 AM","10.215.237.145"
"Session has been disconnected","TRADENET\thor","10/9/2016 10:29:38 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/9/2016 10:22:08 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/7/2016 2:53:47 AM","192.168.60.230"
"Session reconnection succeeded","TRADENET\thor","10/7/2016 2:48:41 AM","192.168.60.230"
"Session has been disconnected","TRADENET\thor","10/6/2016 4:05:33 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/6/2016 3:41:56 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/6/2016 3:32:46 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/6/2016 3:29:32 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/6/2016 2:34:20 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/6/2016 1:15:18 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/6/2016 12:44:27 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/6/2016 10:49:50 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/5/2016 6:50:34 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/5/2016 6:46:13 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/5/2016 6:46:12 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/5/2016 10:58:03 AM","10.215.237.139"
